source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,18500000.0,44.3,2.0,5.0,9.0,"москва, ул. бестужевых, 13б (14 км до центра)",55.871854,37.602948,Отрадное,10.0,6.5,unknown,блочные,1976.0,2.64,не угловая,пассажирский,13б,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12181800/,raw,0.85,geo_recomputed,13.33,3.45,0.39,0.11,0.17,0.18,417607.223476298,0.5555555555555556,50.0,1.0,9,0,original,9
1k,15300000.0,40.0,1.0,3.0,3.0,"москва, ул. новомарьинская, 3к1",55.65242,37.74666,Марьино,5.0,9.0,современный ремонт,панельные,1995.0,2.7,не угловая,unknown,3к1,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/10187076/,raw,0.4,geo_recomputed,13.8,4.33,0.22,0.06,0.09,0.18,382500.0,1.0,31.0,1.0,17,0,original,17
3k,22900000.0,80.3,3.0,6.0,31.0,"москва, ул. тагильская, 6/1к2 (10 км до центра)",55.814963,37.756209,Бульвар Рокоссовского,15.0,24.3,предчистовая отделка,монолитно-кирпичный,2026.0,2.4,не угловая,unknown,6/1к2,двор,подземный паркинг,нет,https://msk.etagi.com/realty/6516677/,raw,1.23,geo_recomputed,11.23,4.25,0.6,0.27,0.81,0.19,285180.5728518057,0.1935483870967742,0.0,1.0,11,0,original,11
1k,25700000.0,62.0,1.0,10.0,19.0,"москва, ул. проспект маршала жукова, 76к2",55.78116,37.45107,Народное Ополчение,26.0,45.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,76к2,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12635382/,raw,2.2,geo_recomputed,10.78,4.76,0.39,0.07,0.49,0.18,414516.12903225806,0.5263157894736842,24.0,0.0,16,0,original,16
all-tsaritsyno,14200000.0,28.0,1.0,2.0,5.0,"москва, ул. кавказский бульвар, 16",55.633074,37.666611,Кантемировская,9.0,5.0,косметический ремонт,панельные,1966.0,2.64,не угловая,unknown,16,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12411340/,raw,0.73,geo_recomputed,13.63,6.04,0.07,0.18,0.56,0.11,507142.8571428571,0.4,60.0,1.0,13,0,original,13
all,37000000.0,85.5,3.0,37.0,40.0,"2/4 с1, 4-й красногорский проезд, район щукино, москва, центральный федеральный округ, 123182, россия",55.813121,37.48384,Стрешнево,2.0,34.6,требует ремонта / частичный ремонт,монолитные,2002.0,2.68,не угловая,unknown,к2.3,двор,подземный паркинг,нет,https://msk.etagi.com/realty/11870692/,geo,0.2,geo_recomputed,10.67,5.79,0.74,0.59,0.21,0.28,432748.5380116959,0.925,24.0,1.0,16,0,original,16
2k,27200000.0,69.8,2.0,5.0,14.0,"москва, ул. боровское шоссе, 2к6 (16 км до центра)",55.661592,37.416997,Говорово,4.0,10.6,ремонт по дизайн-проекту,монолитно-каркасные,2018.0,2.64,не угловая,unknown,2к6,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/9999670/,raw,0.31,geo_recomputed,16.01,0.9,0.53,0.12,0.91,0.23,389684.81375358166,0.3571428571428571,8.0,1.0,3,0,original,3
all,20870000.0,48.4,2.0,11.0,12.0,"москва, ул. волховский переулок, 2 (6 км до центра)",55.772735,37.68403,Бауманская,4.0,9.0,косметический ремонт,блочные,1974.0,2.64,не угловая,"пассажирский, грузовой",2,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12509657/,raw,0.31,geo_recomputed,4.85,9.95,0.31,0.34,0.04,0.07,431198.347107438,0.9166666666666666,52.0,1.0,7,0,original,7
all,13500000.0,62.9,2.0,1.0,25.0,"11 к8, улица никитина, первый московский, филимонковский район, московский, москва, центральный федеральный округ, 108811, россия",55.601752,37.376321,Филатов луг,24.0,29.1,черновая отделка,крупнопанельные железобетонные плиты,2022.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9634130/,geo,1.97,geo_recomputed,22.47,6.64,0.32,0.25,1.07,1.26,214626.39109697935,0.04,4.0,0.0,22,0,original,22
all,7950000.0,31.0,0.0,1.0,6.0,"москва, ул. перерва, 16",55.651415,37.723187,Перерва,14.0,6.0,евроремонт,панельные,1991.0,4.6,не угловая,unknown,16,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11955743/,raw,1.13,geo_recomputed,13.08,5.27,0.25,0.1,0.52,0.06,256451.61290322585,0.1666666666666666,35.0,1.0,17,0,original,17
all-zuzino,16000000.0,31.0,1.0,1.0,5.0,"москва, ул. перекопская, 17к2",55.659881,37.57254,Зюзино,7.0,5.2,косметический ремонт,блочные,2002.0,2.58,не угловая,"пассажирский, грузовой",17к2,двор,unknown,нет,https://msk.etagi.com/realty/12155507/,raw,0.56,geo_recomputed,10.61,7.21,0.21,0.14,0.52,0.12,516129.03225806454,0.2,24.0,1.0,15,0,original,15
3k,20000000.0,66.24,3.0,2.0,12.0,"москва, ул. бульвар яна райниса, 26к2",55.85197,37.41334,Планерная,20.0,10.7,косметический ремонт,блочные,1977.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11915535/,raw,1.7,geo_recomputed,16.82,1.16,0.12,0.22,0.41,0.24,301932.3671497585,0.1666666666666666,49.0,0.0,2,0,original,2
all,19300000.0,56.4,3.0,6.0,9.0,"москва, ул. бестужевых, 7б (11 км до центра)",55.870925,37.598834,Отрадное,10.0,8.0,косметический ремонт,панельные,1975.0,2.6,не угловая,"пассажирский, грузовой",7б,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12500448/,raw,0.84,geo_recomputed,13.24,3.63,0.3,0.12,0.39,0.18,342198.5815602837,0.6666666666666666,51.0,1.0,9,0,original,9
all-nagatino-sadovniki,19900000.0,41.0,1.0,7.0,25.0,"москва, ул. варшавское шоссе, 47/2 (8 км до центра)",55.679326,37.627309,Нагатинская,6.0,13.0,евроремонт,монолитные,2002.0,2.68,не угловая,unknown,47/2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12432407/,raw,0.51,geo_recomputed,8.14,11.27,0.39,0.11,0.36,0.15,485365.85365853657,0.28,24.0,1.0,5,0,original,5
all,17500000.0,38.0,2.0,3.0,12.0,"москва, ул. зеленоградская, 23к3",55.871536,37.495428,Ховрино,10.0,6.3,евроремонт,монолитные,1968.0,2.5,не угловая,"пассажирский, грузовой",23к3,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12428314/,raw,0.84,geo_recomputed,15.25,1.9,0.17,0.07,0.41,0.25,460526.3157894737,0.25,58.0,1.0,21,0,original,21
all,37000000.0,49.0,2.0,13.0,44.0,"москва, ул. ходынская, 10ас4",55.771211,37.563871,Улица 1905 года,10.0,9.0,косметический ремонт,монолитно-заливные,2019.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10934920/,raw,0.81,geo_recomputed,3.87,11.72,0.46,0.61,0.47,0.28,755102.0408163265,0.2954545454545454,7.0,1.0,23,0,original,23
all,14199999.0,20.9,0.0,7.0,26.0,"москва, ул. нагатинская набережная, 10а (8 км до центра)",55.682285,37.637515,Нагатинская,12.0,9.0,без отделки,монолитно-кирпичный,2002.0,2.68,не угловая,unknown,10а,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12244603/,raw,1.04,geo_recomputed,7.89,11.49,0.34,0.16,0.67,0.32,679425.7894736843,0.2692307692307692,24.0,1.0,5,0,original,5
all,22500000.0,44.9,2.0,6.0,9.0,"москва, ул. винницкая, 11",55.698046,37.491242,Раменки,11.0,6.0,unknown,арболитовые,1970.0,2.64,не угловая,пассажирский,11,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12557621/,raw,0.89,geo_recomputed,9.84,4.93,0.18,0.05,0.31,0.37,501113.5857461024,0.6666666666666666,56.0,1.0,0,0,original,0
all,13200000.0,38.9,2.0,7.0,12.0,"москва, ул. ангарская, 49к4",55.883035,37.525495,Яхромская,17.0,6.0,косметический ремонт,блоки железобетонные,2002.0,2.68,не угловая,unknown,49к4,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12489604/,raw,1.41,geo_recomputed,15.6,1.9,0.21,0.07,0.14,0.44,339331.61953727505,0.5833333333333334,24.0,0.0,21,0,original,21
all,16600000.0,41.2,1.0,18.0,24.0,"москва, ул. флотская, 68к1",55.856528,37.510457,Моссельмаш,14.0,11.0,евроремонт,монолитные,2021.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10708221/,raw,1.18,geo_recomputed,13.33,3.81,0.3,0.34,0.49,0.19,402912.62135922327,0.75,5.0,1.0,21,0,original,21
all-marfino,22000000.0,53.6,2.0,7.0,17.0,"москва, ул. большая марфинская, 1к3",55.8271,37.590533,Фонвизинская,6.0,9.0,косметический ремонт,панельные,2002.0,2.64,не угловая,unknown,1к3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12519167/,raw,0.5,geo_recomputed,8.47,8.41,0.14,0.44,0.07,0.22,410447.7611940298,0.4117647058823529,24.0,1.0,6,0,original,6
1k,13200000.0,30.1,1.0,3.0,9.0,"москва, ул. ленинградское шоссе, 112/1к1",55.863687,37.466916,Беломорская,7.0,8.0,unknown,блоки железобетонные,2002.0,2.68,не угловая,unknown,112/1к1,двор,парковка во дворе,нет,https://msk.etagi.com/realty/12304272/,raw,0.61,geo_recomputed,15.49,2.13,0.5,0.31,0.34,0.09,438538.2059800664,0.3333333333333333,24.0,1.0,21,0,original,21
2k,13500000.0,38.3,2.0,3.0,12.0,"москва, ул. мастеровая, 17/1к1",55.744419,37.754179,Андроновка,10.0,6.0,евроремонт,железобетонные панели,2002.0,2.68,не угловая,unknown,17/1к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/11937142/,raw,0.82,geo_recomputed,8.72,5.49,0.23,0.15,0.63,0.16,352480.4177545692,0.25,24.0,1.0,18,0,original,18
2k,48500000.0,62.0,2.0,6.0,29.0,"москва, ул. вильгельма пика, 1к1 (9 км до центра)",55.834598,37.638279,Ботанический сад,13.0,18.0,unknown,монолитные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12095968/,raw,1.11,geo_recomputed,9.27,6.92,0.38,0.17,0.3,0.31,782258.0645161291,0.2068965517241379,24.0,1.0,6,0,original,6
2k,20600000.0,53.2,2.0,12.0,42.0,"улица борисовские пруды, район москворечье-сабурово, москва, центральный федеральный округ, 115211, россия",55.637398,37.706829,Москворечье,14.0,19.0,без отделки,монолитно-каркасные,2026.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11999127/,geo,1.15,geo_recomputed,13.99,4.87,0.66,0.44,0.71,0.21,387218.0451127819,0.2857142857142857,0.0,1.0,17,0,original,17
all-khoroshevo-mnevniki,24500000.0,26.0,0.0,16.0,55.0,"10 с8, 3-й силикатный проезд, первый автокомбинат, район хорошёво-мнёвники, москва, центральный федеральный округ, 123308, россия",55.772947,37.507109,Хорошево,6.0,5.0,без отделки,монолитные,2002.0,2.68,не угловая,unknown,,детская площадка,unknown,нет,https://msk.etagi.com/realty/12291091/,geo,0.48,geo_recomputed,7.17,8.33,0.82,0.82,0.6,0.16,942307.6923076924,0.2909090909090909,24.0,1.0,16,0,original,16
all,12950000.0,38.3,1.0,14.0,14.0,"34 к1, проспект куприна, квартал 195, посёлок подсобного хозяйства «воскресенское», район коммунарка, москва, центральный федеральный округ, 108814, россия",55.540669,37.456325,Новомосковская (Коммунарка),27.0,11.0,евроремонт,монолитные,2002.0,2.68,не угловая,пассажирский и грузовой,34к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12575906/,geo,2.26,geo_recomputed,25.56,7.08,1.01,0.24,1.42,0.81,338120.10443864233,1.0,24.0,0.0,8,0,original,8
2k,58000000.0,48.8,2.0,21.0,46.0,"москва, ул. кутузовский проезд, 16а (7 км до центра)",55.745042,37.520914,Фили,5.0,5.2,косметический ремонт,монолитно-кирпичный,2002.0,3.115,не угловая,unknown,16а,парковка,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12289109/,raw,0.41,geo_recomputed,5.98,8.99,0.43,0.32,0.5,0.35,1188524.5901639345,0.4565217391304347,24.0,1.0,10,0,original,10
2k,37000000.0,66.0,2.0,35.0,59.0,"москва, ул. дмитровский проезд, 1 (6 км до центра)",55.808938,37.578648,Дмитровская,3.0,28.8,черновая отделка,монолитные,2022.0,3.0,не угловая,unknown,1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10948406/,raw,0.22,geo_recomputed,6.72,10.51,0.36,0.26,0.17,0.34,560606.0606060605,0.5932203389830508,4.0,1.0,6,0,original,6
all,14999999.0,35.5,1.0,16.0,33.0,"москва, ул. базовская, 15бк3 (16 км до центра)",55.880323,37.505606,Ховрино,14.0,17.3,косметический ремонт,панельные,2024.0,2.62,не угловая,unknown,15бк3,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/10638059/,raw,1.15,geo_recomputed,15.82,1.37,0.34,0.35,0.83,0.3,422535.1830985916,0.4848484848484848,2.0,1.0,21,0,original,21
